name,manaCost,types,subtypes,supertypes,power,toughness,text,keywords,colors,rarity,setCode,layout
Aardvark Sloth,{3}{W},Creature,"Sloth, Beast",,3,3,Lifelink (Damage dealt by this creature also causes you to gain that much life.),Lifelink,W,common,TLE,normal
Abandon Attachments,{1}{U/R},Instant,Lesson,,,,"You may discard a card. If you do, draw two cards.",,"U, R",common,TLA,normal
Abandoned Air Temple,,Land,,,,,"This land enters tapped unless you control a basic land.
{T}: Add {W}.
{3}{W}, {T}: Put a +1/+1 counter on each creature you control.",,,rare,TLA,normal
Accumulate Wisdom,{1}{U},Instant,Lesson,,,,Look at the top three cards of your library. Put one of those cards into your hand and the rest on the bottom of your library in any order. Put each of those cards into your hand instead if there are three or more Lesson cards in your graveyard.,,U,uncommon,TLA,normal
Acrobatic Leap,{W},Instant,,,,,Target creature gets +1/+3 and gains flying until end of turn. Untap it.,,W,common,TLE,normal
Agent of Treachery,{5}{U}{U},Creature,"Human, Rogue",,2,3,"When this creature enters, gain control of target permanent.
At the beginning of your end step, if you control three or more permanents you don't own, draw three cards.",,U,mythic,TLE,normal
Agna Qel'a,,Land,,,,,"This land enters tapped unless you control a basic land.
{T}: Add {U}.
{2}{U}, {T}: Draw a card, then discard a card.",,,rare,TLA,normal
Air Nomad Legacy,{W}{U},Enchantment,,,,,"When this enchantment enters, create a Clue token. (It's an artifact with ""{2}, Sacrifice this token: Draw a card."")
Creatures you control with flying get +1/+1.",,"W, U",uncommon,TLA,normal
Air Nomad Student,{3}{W},Creature,"Human, Monk",,2,2,"Flying
At the beginning of your end step, if this creature didn't attack this turn, put a +1/+1 counter on it.",Flying,W,uncommon,TLE,normal
Airbender Ascension,{1}{W},Enchantment,,,,,"When this enchantment enters, airbend up to one target creature.
Whenever a creature you control enters, put a quest counter on this enchantment.
At the beginning of your end step, if this enchantment has four or more quest counters on it, exile up to one target creature you control, then return it to the battlefield under its owner's control.",Airbend,W,rare,TLA,normal
Airbender's Reversal,{1}{W},Instant,Lesson,,,,"Choose one —
• Destroy target attacking creature.
• Airbend target creature you control. (Exile it. While it's exiled, its owner may cast it for {2} rather than its mana cost.)",Airbend,W,uncommon,TLA,normal
Airbending Lesson,{2}{W},Instant,Lesson,,,,"Airbend target nonland permanent. (Exile it. While it's exiled, its owner may cast it for {2} rather than its mana cost.)
Draw a card.",Airbend,W,common,TLA,normal
Airship Engine Room,,Land,,,,,"This land enters tapped.
{T}: Add {U} or {R}.
{4}, {T}, Sacrifice this land: Draw a card.",,,common,TLA,normal
Allied Teamwork,{2}{W},Enchantment,,,,,"When this enchantment enters, create a 1/1 white Ally creature token.
Allies you control get +1/+1.",,W,rare,TLE,normal
Allies at Last,{2}{G},Instant,,,,,"Affinity for Allies (This spell costs {1} less to cast for each Ally you control.)
Up to two target creatures you control each deal damage equal to their power to target creature an opponent controls.",Affinity,G,uncommon,TLA,normal
Animal Attendant,{1}{G},Creature,"Human, Citizen",,2,2,"{T}: Add one mana of any color. If that mana is spent to cast a non-Human creature spell, that creature enters with an additional +1/+1 counter on it.",,G,uncommon,TLE,normal
"Appa, Aang's Companion",{3}{W},Creature,"Bison, Ally",Legendary,2,4,"Flying (This creature can't be blocked except by creatures with flying or reach.)
Whenever Appa attacks, another target attacking creature without flying gains flying until end of turn.",Flying,W,uncommon,TLE,normal
"Appa, Loyal Sky Bison",{4}{W}{W},Creature,"Bison, Ally",Legendary,4,4,"Flying
Whenever Appa enters or attacks, choose one —
• Target creature you control gains flying until end of turn.
• Airbend another target nonland permanent you control. (Exile it. While it's exiled, its owner may cast it for {2} rather than its mana cost.)","Flying, Airbend",W,uncommon,TLA,normal
"Appa, Steadfast Guardian",{2}{W}{W},Creature,"Bison, Ally",Legendary,3,4,"Flash
Flying
When Appa enters, airbend any number of other target nonland permanents you control. (Exile them. While each one is exiled, its owner may cast it for {2} rather than its mana cost.)
Whenever you cast a spell from exile, create a 1/1 white Ally creature token.","Flying, Airbend, Flash",W,mythic,TLA,normal
"Appa, the Vigilant",{5}{W}{W},Creature,"Bison, Ally",Legendary,6,6,"Flying, vigilance
Whenever Appa or another Ally you control enters, creatures you control get +1/+1 and gain flying and vigilance until end of turn.","Flying, Vigilance",W,rare,TLE,normal
Arcane Signet,{2},Artifact,,,,,{T}: Add one mana of any color in your commander's color identity.,,,rare,TLE,normal
"Avatar Aang // Aang, Master of Elements",{R}{G}{W}{U},Creature,"Human, Avatar, Ally",Legendary,4,4,"Flying, firebending 2
Whenever you waterbend, earthbend, firebend, or airbend, draw a card. Then if you've done all four this turn, transform Avatar Aang.","Flying, Transform, Firebending","W, U, R, G",mythic,TLA,transform
Avatar Destiny,{2}{G}{G},Enchantment,Aura,,,,"Enchant creature you control
Enchanted creature gets +1/+1 for each creature card in your graveyard and is an Avatar in addition to its other types.
When enchanted creature dies, mill cards equal to its power. Return this card to its owner's hand and up to one creature card milled this way to the battlefield under your control.","Enchant, Mill",G,rare,TLA,normal
Avatar Enthusiasts,{2}{W},Creature,"Human, Peasant, Ally",,2,2,"Whenever another Ally you control enters, put a +1/+1 counter on this creature.",,W,common,TLA,normal
"Avatar Kyoshi, Earthbender",{5}{G}{G}{G},Creature,"Human, Avatar",Legendary,6,6,"During your turn, Avatar Kyoshi has hexproof.
At the beginning of combat on your turn, earthbend 8, then untap that land. (Target land you control becomes a 0/0 creature with haste that's still a land. Put eight +1/+1 counters on it. When it dies or is exiled, return it to the battlefield tapped.)",Earthbend,G,mythic,TLE,normal
"Avatar Roku, Firebender",{3}{R}{R}{R},Creature,"Human, Avatar",Legendary,6,6,"Whenever a player attacks, add six {R}. Until end of combat, you don't lose this mana as steps end.
{R}{R}{R}: Target creature gets +3/+0 until end of turn.",,R,mythic,TLE,normal
Avatar's Wrath,{2}{W}{W},Sorcery,,,,,"Choose up to one target creature, then airbend all other creatures. (Exile them. While each one is exiled, its owner may cast it for {2} rather than its mana cost.)
Until your next turn, your opponents can't cast spells from anywhere other than their hands.
Exile Avatar's Wrath.",Airbend,W,rare,TLA,normal
Azula Always Lies,{1}{B},Instant,Lesson,,,,"Choose one or both —
• Target creature gets -1/-1 until end of turn.
• Put a +1/+1 counter on target creature.",,B,common,TLA,normal
"Azula, Cunning Usurper",{2}{U}{B}{B},Creature,"Human, Noble, Rogue",Legendary,4,4,"Firebending 2 (Whenever this creature attacks, add {R}{R}. This mana lasts until end of combat.)
When Azula enters, target opponent exiles a nontoken creature they control, then they exile a nonland card from their graveyard.
During your turn, you may cast cards exiled with Azula and you may cast them as though they had flash. Mana of any type can be spent to cast those spells.",Firebending,"U, B",rare,TLA,normal
"Azula, On the Hunt",{3}{B},Creature,"Human, Noble",Legendary,4,3,"Firebending 2 (Whenever this creature attacks, add {R}{R}. This mana lasts until end of combat.)
Whenever Azula attacks, you lose 1 life and create a Clue token. (It's an artifact with ""{2}, Sacrifice this token: Draw a card."")",Firebending,B,uncommon,TLA,normal
"Azula, Ruthless Firebender",{2}{B},Creature,"Human, Noble",Legendary,3,3,"Firebending 1 (Whenever this creature attacks, add {R}. This mana lasts until end of combat.)
Whenever Azula attacks, you may discard a card. Then you get an experience counter for each player who discarded a card this turn.
{2}{B}: Until end of turn, Azula gets +1/+1 for each experience counter you have and gains menace.",Firebending,B,mythic,TLE,normal
Ba Sing Se,,Land,,,,,"This land enters tapped unless you control a basic land.
{T}: Add {G}.
{2}{G}, {T}: Earthbend 2. Activate only as a sorcery. (Target land you control becomes a 0/0 creature with haste that's still a land. Put two +1/+1 counters on it. When it dies or is exiled, return it to the battlefield tapped.)",Earthbend,,rare,TLA,normal
Baboon Spirit,{2}{U},Creature,"Monkey, Spirit",,2,4,"Whenever another nontoken Spirit you control enters, create a 1/1 colorless Spirit creature token with ""This token can't block or be blocked by non-Spirit creatures.""
{3}{U}: Exile another target creature you control. Return it to the battlefield under its owner's control at the beginning of the next end step.",,U,rare,TLE,normal
Badgermole,{4}{G},Creature,"Badger, Mole",,4,4,"When this creature enters, earthbend 2. (Target land you control becomes a 0/0 creature with haste that's still a land. Put two +1/+1 counters on it. When it dies or is exiled, return it to the battlefield tapped.)
Creatures you control with +1/+1 counters on them have trample.",Earthbend,G,common,TLA,normal
Badgermole Cub,{1}{G},Creature,"Badger, Mole",,2,2,"When this creature enters, earthbend 1. (Target land you control becomes a 0/0 creature with haste that's still a land. Put a +1/+1 counter on it. When it dies or is exiled, return it to the battlefield tapped.)
Whenever you tap a creature for mana, add an additional {G}.",Earthbend,G,mythic,TLA,normal
Barrels of Blasting Jelly,{1},Artifact,,,,,"{1}: Add one mana of any color. Activate only once each turn.
{5}, {T}, Sacrifice this artifact: It deals 5 damage to target creature.",,,common,TLA,normal
Bastion of Remembrance,{2}{B},Enchantment,,,,,"When this enchantment enters, create a 1/1 white Human Soldier creature token.
Whenever a creature you control dies, each opponent loses 1 life and you gain 1 life.",,B,uncommon,TLE,normal
Beastmaster Ascension,{2}{G},Enchantment,,,,,"Whenever a creature you control attacks, you may put a quest counter on this enchantment.
As long as this enchantment has seven or more quest counters on it, creatures you control get +5/+5.",,G,mythic,TLE,normal
Beetle-Headed Merchants,{4}{B},Creature,"Human, Citizen",,5,4,"Whenever this creature attacks, you may sacrifice another creature or artifact. If you do, draw a card and put a +1/+1 counter on this creature.",,B,common,TLA,normal
Beifong's Bounty Hunters,{2}{B}{G},Creature,"Human, Mercenary",,4,4,"Whenever a nonland creature you control dies, earthbend X, where X is that creature's power. (Target land you control becomes a 0/0 creature with haste that's still a land. Put X +1/+1 counters on it. When it dies or is exiled, return it to the battlefield tapped.)",Earthbend,"B, G",rare,TLA,normal
Bender's Waterskin,{3},Artifact,,,,,"Untap this artifact during each other player's untap step.
{T}: Add one mana of any color.",,,common,TLA,normal
Benevolent River Spirit,{U}{U},Creature,Spirit,,4,5,"As an additional cost to cast this spell, waterbend {5}. (While paying a waterbend cost, you can tap your artifacts and creatures to help. Each one pays for {1}.)
Flying, ward {2} (Whenever this creature becomes the target of a spell or ability an opponent controls, counter it unless that player pays {2}.)
When this creature enters, scry 2.","Scry, Flying, Ward, Waterbend",U,uncommon,TLA,normal
Bison Whistle,{1}{G},Artifact,,,,,"{1}, {T}: Look at the top card of your library. If it's a Bison card, you may put it onto the battlefield. If it's a creature card, you may reveal it and put it into your hand. Otherwise, you may put it into your graveyard.",,G,rare,TLE,normal
Bitter Work,{1}{R}{G},Enchantment,,,,,"Whenever you attack a player with one or more creatures with power 4 or greater, draw a card.
Exhaust — {4}: Earthbend 4. Activate only during your turn. (Target land you control becomes a 0/0 creature with haste that's still a land. Put four +1/+1 counters on it. When it dies or is exiled, return it to the battlefield tapped. Activate each exhaust ability only once.)","Exhaust, Earthbend","R, G",uncommon,TLA,normal
Black Sun's Zenith,{X}{B}{B},Sorcery,,,,,Put X -1/-1 counters on each creature. Shuffle Black Sun's Zenith into its owner's library.,,B,mythic,TLE,normal
Blasphemous Act,{8}{R},Sorcery,,,,,"This spell costs {1} less to cast for each creature on the battlefield.
Blasphemous Act deals 13 damage to each creature.",,R,mythic,TLE,normal
Bloodchief Ascension,{B},Enchantment,,,,,"At the beginning of each end step, if an opponent lost 2 or more life this turn, you may put a quest counter on this enchantment. (Damage causes loss of life.)
Whenever a card is put into an opponent's graveyard from anywhere, if this enchantment has three or more quest counters on it, you may have that player lose 2 life. If you do, you gain 2 life.",,B,mythic,TLE,normal
Boar-q-pine,{2}{R},Creature,"Boar, Porcupine",,2,2,"Whenever you cast a noncreature spell, put a +1/+1 counter on this creature.",,R,common,TLA,normal
Boiling Rock Prison,,Land,,,,,"This land enters tapped.
{T}: Add {B} or {R}.
{4}, {T}, Sacrifice this land: Draw a card.",,,common,TLA,normal
Boiling Rock Rioter,{2}{B},Creature,"Human, Rogue, Ally",,3,3,"Firebending 1 (Whenever this creature attacks, add {R}. This mana lasts until end of combat.)
Tap an untapped Ally you control: Exile target card from a graveyard.
Whenever this creature attacks, you may cast an Ally spell from among cards you own exiled with this creature.",Firebending,B,rare,TLA,normal
Bolt Bend,{3}{R},Instant,,,,,"This spell costs {3} less to cast if you control a creature with power 4 or greater.
Change the target of target spell or ability with a single target.",,R,uncommon,TLE,normal
Boomerang Basics,{U},Sorcery,Lesson,,,,"Return target nonland permanent to its owner's hand. If you controlled that permanent, draw a card.",,U,uncommon,TLA,normal
"Bosco, Just a Bear",{4}{G},Creature,Bear,Legendary,4,4,"When Bosco enters, create a Food token for each legendary creature you control. (It's an artifact with ""{2}, {T}, Sacrifice this token: You gain 3 life."")
{2}{G}, Sacrifice a Food: Put two +1/+1 counters on Bosco. He gains trample until end of turn.",Food,G,uncommon,TLE,normal
Brainstorm,{U},Instant,,,,,"Draw three cards, then put two cards from your hand on top of your library in any order.",,U,common,TLE,normal
Bribery,{3}{U}{U},Sorcery,,,,,Search target opponent's library for a creature card and put that card onto the battlefield under your control. Then that player shuffles.,,U,mythic,TLE,normal
Brought Back,{W}{W},Instant,,,,,Choose up to two target permanent cards in your graveyard that were put there from the battlefield this turn. Return them to the battlefield tapped.,,W,mythic,TLE,normal
Bumi Bash,{3}{R},Sorcery,,,,,"Choose one —
• Bumi Bash deals damage equal to the number of lands you control to target creature.
• Destroy target land creature or nonbasic land.",,R,common,TLA,normal
"Bumi, Eclectic Earthbender",{3}{G}{G},Creature,"Human, Noble, Ally",Legendary,4,4,"When Bumi enters, earthbend 1. (Target land you control becomes a 0/0 creature with haste that's still a land. Put a +1/+1 counter on it. When it dies or is exiled, return it to the battlefield tapped.)
Whenever Bumi attacks, put two +1/+1 counters on each land creature you control.",Earthbend,G,rare,TLE,normal
"Bumi, King of Three Trials",{5}{G},Creature,"Human, Noble, Ally",Legendary,4,4,"When Bumi enters, choose up to X, where X is the number of Lesson cards in your graveyard —
• Put three +1/+1 counters on Bumi.
• Target player scries 3.
• Earthbend 3. (Target land you control becomes a 0/0 creature with haste that's still a land. Put three +1/+1 counters on it. When it dies or is exiled, return it to the battlefield tapped.)",Earthbend,G,uncommon,TLA,normal
"Bumi, Unleashed",{3}{R}{G},Creature,"Human, Noble, Ally",Legendary,5,4,"Trample
When Bumi enters, earthbend 4.
Whenever Bumi deals combat damage to a player, untap all lands you control. After this phase, there is an additional combat phase. Only land creatures can attack during that combat phase.","Trample, Earthbend","R, G",mythic,TLA,normal
Bumi's Feast Lecture,{1}{G},Sorcery,Lesson,,,,"Create a Food token. Then earthbend X, where X is twice the number of Foods you control. (A Food token is an artifact with ""{2}, {T}, Sacrifice this token:You gain 3 life."" To earthbend X, target land you control becomes a 0/0 creature with haste that's still a land. Put X +1/+1 counters on it. When it dies or is exiled, return it to the battlefield tapped.)","Food, Earthbend",G,uncommon,TLE,normal
Buzzard-Wasp Colony,{3}{B},Creature,"Bird, Insect",,2,2,"Flying
When this creature enters, you may sacrifice an artifact or creature. If you do, draw a card.
Whenever another creature you control dies, if it had counters on it, put its counters on this creature.",Flying,B,uncommon,TLA,normal
Callous Inspector,{B},Creature,"Human, Soldier",,1,1,"Menace (This creature can't be blocked except by two or more creatures.)
When this creature dies, it deals 1 damage to you. Create a Clue token. (It's an artifact with ""{2}, Sacrifice this token: Draw a card."")",Menace,B,common,TLA,normal
Canyon Crawler,{4}{B}{B},Creature,"Spider, Beast",,6,6,"Deathtouch
When this creature enters, create a Food token. (It's an artifact with ""{2}, {T}, Sacrifice this token: You gain 3 life."")
Swampcycling {2} ({2}, Discard this card: Search your library for a Swamp card, reveal it, put it into your hand, then shuffle.)","Landcycling, Food, Typecycling, Cycling, Swampcycling, Deathtouch",B,common,TLA,normal
Capital Guard,{1}{R},Creature,"Human, Soldier",,2,2,,,R,common,TLE,normal
Captain Sisay,{2}{G}{W},Creature,"Human, Soldier",Legendary,2,2,"{T}: Search your library for a legendary card, reveal that card, put it into your hand, then shuffle.",,"W, G",mythic,TLE,normal
Cat-Gator,{6}{B},Creature,"Fish, Crocodile",,3,2,"Lifelink
When this creature enters, it deals damage equal to the number of Swamps you control to any target.",Lifelink,B,uncommon,TLA,normal
Cat-Owl,{3}{W/U},Creature,"Cat, Bird",,3,3,"Flying
Whenever this creature attacks, untap target artifact or creature.",Flying,"W, U",common,TLA,normal
Cathartic Reunion,{1}{R},Sorcery,,,,,"As an additional cost to cast this spell, discard two cards.
Draw three cards.",,R,common,TLE,normal
Chakra Meditation,{2}{U},Enchantment,,,,,"When this enchantment enters, return up to one target instant or sorcery card from your graveyard to your hand.
Whenever you cast an instant or sorcery spell, draw a card. Then discard a card unless there are three or more Lesson cards in your graveyard.",,U,rare,TLE,normal
"Chong and Lily, Nomads",{3}{R},Creature,"Human, Bard, Ally",Legendary,3,3,"Whenever one or more Bards you control attack, choose one —
• Put a lore counter on each of any number of target Sagas you control.
• Creatures you control get +1/+0 until end of turn for each lore counter among Sagas you control.",,R,rare,TLE,normal
Cityscape Leveler,{8},"Artifact, Creature",Construct,,8,8,"Trample
When you cast this spell and whenever this creature attacks, destroy up to one target nonland permanent. Its controller creates a tapped Powerstone token.
Unearth {8}","Unearth, Trample",,mythic,TLE,normal
Clone,{3}{U},Creature,Shapeshifter,,0,0,You may have this creature enter as a copy of any creature on the battlefield.,,U,mythic,TLE,normal
Clone Legion,{7}{U}{U},Sorcery,,,,,"For each creature target player controls, create a token that's a copy of that creature.",,U,mythic,TLE,normal
Cloudshift,{W},Instant,,,,,"Exile target creature you control, then return that card to the battlefield under your control.",,W,common,TLE,normal
Coastal Piracy,{2}{U}{U},Enchantment,,,,,"Whenever a creature you control deals combat damage to an opponent, you may draw a card.",,U,uncommon,TLE,normal
Combustion Man,{3}{R}{R},Creature,"Human, Assassin",Legendary,4,6,"Whenever Combustion Man attacks, destroy target permanent unless its controller has Combustion Man deal damage to them equal to his power.",,R,uncommon,TLA,normal
Combustion Technique,{1}{R},Instant,Lesson,,,,"Combustion Technique deals damage equal to 2 plus the number of Lesson cards in your graveyard to target creature. If that creature would die this turn, exile it instead.",,R,uncommon,TLA,normal
Compassionate Healer,{1}{W},Creature,"Human, Cleric, Ally",,2,2,"Whenever this creature becomes tapped, you gain 1 life and scry 1. (Look at the top card of your library. You may put it on the bottom.)",Scry,W,common,TLA,normal
Consider,{U},Instant,,,,,"Surveil 1. (Look at the top card of your library. You may put it into your graveyard.)
Draw a card.",Surveil,U,common,TLE,normal
Corrupt Court Official,{1}{B},Creature,"Human, Advisor",,1,1,"When this creature enters, target opponent discards a card.",,B,common,TLA,normal
Cracked Earth Technique,{4}{G},Sorcery,Lesson,,,,"Earthbend 3, then earthbend 3. You gain 3 life. (To earthbend 3, target land you control becomes a 0/0 creature with haste that's still a land. Put three +1/+1 counters on it. When it dies or is exiled, return it to the battlefield tapped.)",Earthbend,G,uncommon,TLE,normal
Crashing Wave,{U}{U},Sorcery,,,,,"As an additional cost to cast this spell, waterbend {X}. (While paying a waterbend cost, you can tap your artifacts and creatures to help. Each one pays for {1}.)
Tap up to X target creatures, then distribute three stun counters among any number of tapped creatures your opponents control. (If a permanent with a stun counter would become untapped, remove one from it instead.)",Waterbend,U,uncommon,TLA,normal
Creeping Crystal Coating,{2}{G},Enchantment,Aura,,,,"Flash
Enchant creature
Enchanted creature gets +0/+3 and has ""Whenever this creature attacks, create a Food token."" (It's an artifact with ""{2}, {T}, Sacrifice this token: You gain 3 life."")","Food, Enchant, Flash",G,uncommon,TLE,normal
Crescent Island Temple,{3}{R},Enchantment,Shrine,Legendary,,,"When Crescent Island Temple enters, for each Shrine you control, create a 1/1 red Monk creature token with prowess. (Whenever you cast a noncreature spell, it gets +1/+1 until end of turn.)
Whenever another Shrine you control enters, create a 1/1 red Monk creature token with prowess.",,R,uncommon,TLA,normal
Cruel Administrator,{3}{B}{R},Creature,"Human, Soldier",,5,4,"Raid — This creature enters with a +1/+1 counter on it if you attacked this turn.
Whenever this creature attacks, create a 2/2 red Soldier creature token with firebending 1. (Whenever it attacks, add {R}. This mana lasts until end of combat.)",Raid,"B, R",uncommon,TLA,normal
Cruel Tutor,{2}{B},Sorcery,,,,,"Search your library for a card, then shuffle and put that card on top. You lose 2 life.",,B,mythic,TLE,normal
Crystalline Armor,{3}{G},Enchantment,Aura,,,,"Enchant creature
Enchanted creature gets +1/+1 for each land you control and has trample.",Enchant,G,rare,TLE,normal
Cunning Maneuver,{1}{R},Instant,,,,,"Target creature gets +3/+1 until end of turn.
Create a Clue token. (It's an artifact with ""{2}, Sacrifice this token: Draw a card."")",,R,common,TLA,normal
Curious Farm Animals,{W},Creature,"Boar, Elk, Bird, Ox",,1,1,"When this creature dies, you gain 3 life.
{2}, Sacrifice this creature: Destroy up to one target artifact or enchantment.",,W,common,TLA,normal
Cycle of Renewal,{2}{G},Instant,Lesson,,,,"Sacrifice a land. Search your library for up to two basic land cards, put them onto the battlefield tapped, then shuffle.",,G,common,TLA,normal
Dai Li Agents,{3}{B}{G},Creature,"Human, Soldier",,3,4,"When this creature enters, earthbend 1, then earthbend 1. (To earthbend 1, target land you control becomes a 0/0 creature with haste that's still a land. Put a +1/+1 counter on it. When it dies or is exiled, return it to the battlefield tapped.)
Whenever this creature attacks, each opponent loses X life and you gain X life, where X is the number of creatures you control with +1/+1 counters on them.",Earthbend,"B, G",uncommon,TLA,normal
Dai Li Censor,{1}{B},Creature,"Human, Soldier, Advisor",,2,1,"{1}, Sacrifice another creature: This creature gets +2/+2 until end of turn. Activate only once each turn.",,B,common,TLE,normal
Dai Li Indoctrination,{1}{B},Sorcery,Lesson,,,,"Choose one —
• Target opponent reveals their hand. You choose a nonland permanent card from it. That player discards that card.
• Earthbend 2. (Target land you control becomes a 0/0 creature with haste that's still a land. Put two +1/+1 counters on it. When it dies or is exiled, return it to the battlefield tapped.)",Earthbend,B,common,TLA,normal
Dark Deal,{2}{B},Sorcery,,,,,"Each player discards all the cards in their hand, then draws that many cards minus one.",,B,uncommon,TLE,normal
Dark Depths,,Land,,"Legendary, Snow",,,"Dark Depths enters with ten ice counters on it.
{3}: Remove an ice counter from Dark Depths.
When Dark Depths has no ice counters on it, sacrifice it. If you do, create Marit Lage, a legendary 20/20 black Avatar creature token with flying and indestructible.",,,mythic,TLE,normal
Day of Black Sun,{X}{B}{B},Sorcery,,,,,Each creature with mana value X or less loses all abilities until end of turn. Destroy those creatures.,,B,rare,TLA,normal
Deadly Precision,{B},Sorcery,,,,,"As an additional cost to cast this spell, pay {4} or sacrifice an artifact or creature.
Destroy target creature.",,B,common,TLA,normal
Deadly Rollick,{3}{B},Instant,,,,,"If you control a commander, you may cast this spell without paying its mana cost.
Exile target creature.",,B,rare,TLE,normal
Deer-Dog,{1}{R},Creature,"Elk, Dog",,1,3,First strike (This creature deals combat damage before creatures without first strike.),First strike,R,common,TLE,normal
Deflecting Swat,{2}{R},Instant,,,,,"If you control a commander, you may cast this spell without paying its mana cost.
You may choose new targets for target spell or ability.",,R,rare,TLE,normal
Deny Entry,{2}{U},Instant,,,,,"Counter target creature spell. Draw a card, then discard a card.",,U,common,TLE,normal
Descendants' Path,{2}{G},Enchantment,,,,,"At the beginning of your upkeep, reveal the top card of your library. If it's a creature card that shares a creature type with a creature you control, you may cast it without paying its mana cost. If you don't cast it, put it on the bottom of your library.",,G,rare,TLE,normal
Deserter's Disciple,{1}{R},Creature,"Human, Rebel, Ally",,2,2,{T}: Another target creature you control with power 2 or less can't be blocked this turn.,,R,common,TLA,normal
Desperate Plea,{1}{B},Sorcery,Lesson,,,,"As an additional cost to cast this spell, sacrifice a creature.
Choose one or both —
• Return target creature card from your graveyard to the battlefield if its power is less than or equal to the sacrificed creature's power.
• Destroy target creature.",,B,rare,TLE,normal
Destined Confrontation,{2}{W}{W},Sorcery,,,,,"Each player chooses any number of creatures they control with total power 4 or less, then sacrifices all other creatures they control.",,W,uncommon,TLA,normal
"Diaochan, Artful Beauty",{3}{R},Creature,"Human, Advisor",Legendary,1,1,"{T}: Destroy target creature of your choice, then destroy target creature of an opponent's choice. Activate only during your turn, before attackers are declared.",,R,mythic,TLE,normal
Diligent Zookeeper,{3}{G},Creature,"Human, Citizen, Ally",,4,4,"Each non-Human creature you control gets +1/+1 for each of its creature types, to a maximum of 10.",,G,rare,TLA,normal
Diresight,{2}{B},Sorcery,,,,,"Surveil 2, then draw two cards. You lose 2 life. (To surveil 2, look at the top two cards of your library, then put any number of them into your graveyard and the rest on top of your library in any order.)",Surveil,B,common,TLE,normal
Dockside Extortionist,{1}{R},Creature,"Goblin, Pirate",,1,2,"When this creature enters, create X Treasure tokens, where X is the number of artifacts and enchantments your opponents control. (Treasure tokens are artifacts with ""{T}, Sacrifice this token: Add one mana of any color."")",Treasure,R,mythic,TLE,normal
Dragon Moose,{3}{R},Creature,"Dragon, Elk",,3,3,Haste (This creature can attack and {T} as soon as it comes under your control.),Haste,R,common,TLE,normal
